subj_idx,response,rt_Org,rt,group
44,1,1526,1.526,22
44,1,334,0.334,22
44,1,1223,1.223,22
44,0,0,0,22
44,1,2175,2.175,22
44,0,0,0,40
44,1,3344,3.344,11
44,1,2728,2.728,11
44,1,3601,3.601,11
44,1,4777,4.777,11
44,0,2705,2.705,11
44,1,2442,2.442,11
44,0,0,0,50
44,0,1197,1.197,22
44,1,2198,2.198,22
44,1,1166,1.166,22
44,1,1127,1.127,22
44,0,0,0,22
44,1,4536,4.536,22
44,0,0,0,50
44,1,2457,2.457,22
44,0,2273,2.273,22
44,1,4026,4.026,22
44,1,1947,1.947,22
44,1,1403,1.403,22
44,1,1524,1.524,22
44,0,0,0,40
44,1,2565,2.565,11
44,0,4694,4.694,11
44,0,2158,2.158,11
44,1,2975,2.975,11
44,0,2648,2.648,11
44,0,0,0,11
44,0,57,0.057,50
44,0,1233,1.233,22
44,1,921,0.921,22
44,1,1290,1.29,22
44,1,1514,1.514,22
44,1,986,0.986,22
44,1,947,0.947,22
44,0,0,0,40
44,1,2419,2.419,11
44,1,2268,2.268,11
44,1,4020,4.02,11
44,0,0,0,11
44,1,93,0.093,11
44,0,2884,2.884,11
44,0,0,0,40
44,1,2381,2.381,11
44,1,3053,3.053,11
44,0,3118,3.118,11
44,1,1870,1.87,11
44,1,2318,2.318,11
44,1,1998,1.998,11
44,0,0,0,40
44,0,2903,2.903,11
44,1,3431,3.431,11
44,0,4792,4.792,11
44,0,0,0,11
44,0,2961,2.961,11
44,1,2273,2.273,11
46,0,0,0,50
46,0,1422,1.422,22
46,1,1255,1.255,22
46,1,1191,1.191,22
46,1,1415,1.415,22
46,0,272,0.272,22
46,1,1184,1.184,22
46,0,0,0,40
46,1,4433,4.433,11
46,1,3545,3.545,11
46,1,2801,2.801,11
46,1,2914,2.914,11
46,1,2401,2.401,11
46,0,1858,1.858,11
46,0,0,0,50
46,0,946,0.946,22
46,0,0,0,22
46,1,2347,2.347,22
46,1,1635,1.635,22
46,0,0,0,22
46,1,2340,2.34,22
46,0,0,0,40
46,1,2413,2.413,11
46,0,3933,3.933,11
46,1,3133,3.133,11
46,0,4456,4.456,11
46,1,2673,2.673,11
46,0,0,0,11
46,0,0,0,50
46,1,1123,1.123,22
46,1,972,0.972,22
46,0,0,0,22
46,0,493,0.493,22
46,1,1629,1.629,22
46,1,2125,2.125,22
46,0,0,0,40
46,0,0,0,11
46,0,2743,2.743,11
46,1,4247,4.247,11
46,1,3928,3.928,11
46,0,2216,2.216,11
46,1,2441,2.441,11
46,0,0,0,50
46,1,1274,1.274,22
46,1,1299,1.299,22
46,1,1507,1.507,22
46,0,0,0,22
46,1,1188,1.188,22
46,1,876,0.876,22
46,0,0,0,50
46,1,1093,1.093,22
46,1,957,0.957,22
46,1,1629,1.629,22
46,1,1782,1.782,22
46,0,0,0,22
46,0,0,0,22
46,0,0,0,40
46,1,2287,2.287,11
46,0,0,0,11
46,0,2136,2.136,11
46,0,3584,3.584,11
46,0,0,0,11
46,1,4033,4.033,11
46,0,0,0,40
46,1,2577,2.577,11
46,0,0,0,11
46,0,0,0,11
46,1,2249,2.249,11
46,1,3602,3.602,11
46,1,3418,3.418,11
48,0,0,0,40
48,1,2651,2.651,11
48,1,2587,2.587,11
48,0,0,0,11
48,1,3852,3.852,11
48,1,3932,3.932,11
48,1,2572,2.572,11
48,0,0,0,50
48,0,2500,2.5,22
48,0,1221,1.221,22
48,1,2269,2.269,22
48,1,1150,1.15,22
48,1,1678,1.678,22
48,1,1454,1.454,22
48,0,0,0,50
48,1,2135,2.135,22
48,1,999,0.999,22
48,1,1039,1.039,22
48,1,1624,1.624,22
48,1,1440,1.44,22
48,1,1144,1.144,22
48,0,0,0,40
48,1,3241,3.241,11
48,1,2569,2.569,11
48,1,4122,4.122,11
48,1,4850,4.85,11
48,1,2618,2.618,11
48,1,3307,3.307,11
48,0,0,0,40
48,1,2583,2.583,11
48,1,2991,2.991,11
48,1,3272,3.272,11
48,1,4120,4.12,11
48,1,2481,2.481,11
48,0,1649,1.649,11
48,0,0,0,50
48,0,1338,1.338,22
48,1,3595,3.595,22
48,1,1220,1.22,22
48,1,1212,1.212,22
48,0,0,0,22
48,0,0,0,22
48,0,0,0,40
48,1,2151,2.151,11
48,0,1783,1.783,11
48,0,1360,1.36,11
48,1,2609,2.609,11
48,1,2961,2.961,11
48,0,0,0,11
48,0,0,0,50
48,1,1114,1.114,22
48,1,1683,1.683,22
48,1,1283,1.283,22
48,0,0,0,22
48,1,2124,2.124,22
48,1,1284,1.284,22
48,0,0,0,50
48,1,1396,1.396,22
48,1,1237,1.237,22
48,0,0,0,22
48,1,2749,2.749,22
48,0,0,0,22
48,1,1021,1.021,22
48,0,0,0,40
48,1,2694,2.694,11
48,1,2574,2.574,11
48,1,2639,2.639,11
48,1,2327,2.327,11
48,1,4583,4.583,11
48,0,4376,4.376,11
50,0,0,0,40
50,1,3016,3.016,11
50,1,3744,3.744,11
50,0,2696,2.696,11
50,1,4089,4.089,11
50,1,2521,2.521,11
50,1,3929,3.929,11
50,0,4066,4.066,40
50,0,3610,3.61,11
50,1,2770,2.77,11
50,0,0,0,11
50,1,1283,1.283,11
50,0,123,0.123,11
50,0,204,0.204,11
50,0,2924,2.924,50
50,0,116,0.116,22
50,1,109,0.109,22
50,1,4317,4.317,22
